Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile range,Quartile number,Suppression Flag
"Ever experienced long COVID, as a percentage of all adults",National Estimate,United States,United States,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,14,13.5,14.5,13.5 - 14.5,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,18 - 29 years,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,17.8,15.9,19.8,15.9 - 19.8,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,30 - 39 years,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15.2,14.1,16.2,14.1 - 16.2,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,40 - 49 years,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,16.9,15.7,18.3,15.7 - 18.3,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,50 - 59 years,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15.3,14.1,16.7,14.1 - 16.7,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,60 - 69 years,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,10.9,9.8,12,9.8 - 12.0,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,70 - 79 years,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,7.1,5.9,8.5,5.9 - 8.5,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,80 years and above,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,4.2,3.4,5.3,3.4 - 5.3,,,
"Ever experienced long COVID, as a percentage of all adults",By Sex,United States,Male,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,10.5,9.8,11.2,9.8 - 11.2,,,
"Ever experienced long COVID, as a percentage of all adults",By Sex,United States,Female,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,17.3,16.5,18.1,16.5 - 18.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Gender identity,United States,Cis-gender male,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,10.2,9.6,10.9,9.6 - 10.9,,,
"Ever experienced long COVID, as a percentage of all adults",By Gender identity,United States,Cis-gender female,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,17.3,16.5,18.1,16.5 - 18.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Gender identity,United States,Transgender,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,18.3,12.3,25.6,12.3 - 25.6,,,
"Ever experienced long COVID, as a percentage of all adults",By Sexual orientation,United States,Gay or lesbian,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,13.7,10.4,17.7,10.4 - 17.7,,,
"Ever experienced long COVID, as a percentage of all adults",By Sexual orientation,United States,Straight,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,13.6,13.1,14.1,13.1 - 14.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Sexual orientation,United States,Bisexual,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,19.2,15.9,22.8,15.9 - 22.8,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,18.4,16.7,20.1,16.7 - 20.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,13.1,12.5,13.6,12.5 - 13.6,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,13.9,12.2,15.7,12.2 - 15.7,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,9.3,7.5,11.3,7.5 - 11.3,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15.7,13.3,18.3,13.3 - 18.3,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,Less than a high school diploma,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15,11.6,18.9,11.6 - 18.9,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,High school diploma or GED,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15,14,16.1,14.0 - 16.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,Some college/Associate's degree,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,16.5,15.5,17.5,15.5 - 17.5,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,Bachelor's degree or higher,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,10.3,9.7,10.8,9.7 - 10.8,,,
"Ever experienced long COVID, as a percentage of all adults",By Disability status,United States,With disability,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,23.2,21.4,25.1,21.4 - 25.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Disability status,United States,Without disability,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,12.1,11.6,12.6,11.6 - 12.6,,,
"Ever experienced long COVID, as a percentage of all adults",By State,Alabama,Alabama,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,19.4,15.7,23.5,15.7 - 23.5,16.7-23.9,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Alaska,Alaska,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,23.9,17,31.9,17.0 - 31.9,16.7-23.9,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Arizona,Arizona,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,17.8,15.1,20.7,15.1 - 20.7,16.7-23.9,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Arkansas,Arkansas,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,16.3,12.3,21,12.3 - 21.0,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,California,California,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,12.1,10.3,14,10.3 - 14.0,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Colorado,Colorado,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15.9,12.9,19.4,12.9 - 19.4,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Connecticut,Connecticut,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,13.2,10.6,16.1,10.6 - 16.1,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Delaware,Delaware,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,9.4,6.1,13.6,6.1 - 13.6,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,District of Columbia,District of Columbia,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,12.3,6.1,21.6,6.1 - 21.6,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Florida,Florida,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,12.5,9.8,15.5,9.8 - 15.5,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Georgia,Georgia,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,14,10.9,17.6,10.9 - 17.6,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Hawaii,Hawaii,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,9.3,6.4,12.9,6.4 - 12.9,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Idaho,Idaho,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,17.4,14.2,21,14.2 - 21.0,16.7-23.9,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Illinois,Illinois,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,13.7,11.6,16.1,11.6 - 16.1,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Indiana,Indiana,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15.6,12.9,18.5,12.9 - 18.5,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Iowa,Iowa,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,12.4,9.9,15.3,9.9 - 15.3,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Kansas,Kansas,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15.3,12.4,18.5,12.4 - 18.5,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Kentucky,Kentucky,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,19.2,15.4,23.6,15.4 - 23.6,16.7-23.9,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Louisiana,Louisiana,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,18.2,14.1,22.8,14.1 - 22.8,16.7-23.9,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Maine,Maine,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,10.9,7.6,15.1,7.6 - 15.1,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Maryland,Maryland,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,10.4,8.3,12.8,8.3 - 12.8,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Massachusetts,Massachusetts,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,11.9,9.8,14.1,9.8 - 14.1,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Michigan,Michigan,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,13.1,10.8,15.7,10.8 - 15.7,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Minnesota,Minnesota,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,11.7,9.3,14.3,9.3 - 14.3,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Mississippi,Mississippi,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15.8,12.1,20.2,12.1 - 20.2,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Missouri,Missouri,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,13.3,10.9,16.2,10.9 - 16.2,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Montana,Montana,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,13.9,10.4,17.9,10.4 - 17.9,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Nebraska,Nebraska,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,12.8,10,16,10.0 - 16.0,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Nevada,Nevada,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,19.1,15.3,23.4,15.3 - 23.4,16.7-23.9,4,
"Ever experienced long COVID, as a percentage of all adults",By State,New Hampshire,New Hampshire,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,12.7,9.6,16.3,9.6 - 16.3,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,New Jersey,New Jersey,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,12.4,10.2,14.9,10.2 - 14.9,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,New Mexico,New Mexico,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,18,14.4,22,14.4 - 22.0,16.7-23.9,4,
"Ever experienced long COVID, as a percentage of all adults",By State,New York,New York,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,16,12.9,19.5,12.9 - 19.5,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,North Carolina,North Carolina,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,14.1,11.1,17.5,11.1 - 17.5,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,North Dakota,North Dakota,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15.1,11.2,19.7,11.2 - 19.7,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Ohio,Ohio,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15.7,12.7,19.2,12.7 - 19.2,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Oklahoma,Oklahoma,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,16.4,13.3,20,13.3 - 20.0,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Oregon,Oregon,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,12.1,9.8,14.7,9.8 - 14.7,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Pennsylvania,Pennsylvania,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,12.4,10.2,14.9,10.2 - 14.9,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Rhode Island,Rhode Island,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15,11.4,19.3,11.4 - 19.3,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,South Carolina,South Carolina,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,15.8,12.6,19.4,12.6 - 19.4,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,South Dakota,South Dakota,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,18.2,13.8,23.3,13.8 - 23.3,16.7-23.9,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Tennessee,Tennessee,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,19,15.8,22.4,15.8 - 22.4,16.7-23.9,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Texas,Texas,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,13.9,11.8,16.3,11.8 - 16.3,12.4-14.0,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Utah,Utah,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,16.6,13.7,19.9,13.7 - 19.9,14.1-16.6,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Vermont,Vermont,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,8.2,5.4,11.8,5.4 - 11.8,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Virginia,Virginia,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,10.5,7.8,13.7,7.8 - 13.7,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Washington,Washington,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,11.3,9.6,13.1,9.6 - 13.1,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,West Virginia,West Virginia,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,20.4,15.6,26,15.6 - 26.0,16.7-23.9,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Wisconsin,Wisconsin,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,11.9,8.5,15.9,8.5 - 15.9,8.2-12.3,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Wyoming,Wyoming,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,17.6,13.2,22.9,13.2 - 22.9,16.7-23.9,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",National Estimate,United States,United States,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,35.1,34.1,36,34.1 - 36.0,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,18 - 29 years,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,36.1,32.3,40.1,32.3 - 40.1,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,30 - 39 years,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,32.3,30.4,34.2,30.4 - 34.2,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,40 - 49 years,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,36.7,34.3,39.1,34.3 - 39.1,,,
